7.137684494768172954e+03 1.884112619406735897e+07
7.781050865834075012e+03 1.709715937657111883e+07
8.689332801456523157e+03 1.825980392156863213e+07
8.916403285362135648e+03 2.349170437405729294e+07
8.992093446664006478e+03 3.046757164404225349e+07
8.992093446664006478e+03 4.151269482151833177e+07
9.067783607965877309e+03 6.534690799396681786e+07
9.067783607965877309e+03 8.743715434891903400e+07
9.113726172089423926e+03 1.154231083459019661e+08
9.127960695667590699e+03 1.469928355957772434e+08
9.131838964067630513e+03 1.293504901960784197e+08
9.164825554634999207e+03 1.781142638679403663e+08
9.182938346613205795e+03 2.002136752136752009e+08
9.186177340002250276e+03 1.621370663650075197e+08
9.240515715936870038e+03 2.226914697502932549e+08
9.298093085260534281e+03 2.475384144042231739e+08
9.406769837129773805e+03 2.153280542986425161e+08
9.431403234220135346e+03 1.922008547008546591e+08
9.431403234220135346e+03 2.066684472934472561e+08
9.446234414475231461e+03 1.477784062342885733e+08
9.446234414475231461e+03 1.775421065862241983e+08
9.467628818176548521e+03 1.220886752136751413e+08
9.503854402132963514e+03 1.087339743589743078e+08
9.521924575777102291e+03 7.214837858220210671e+07
9.521924575777102291e+03 9.121574912016087770e+07
9.597614737078973121e+03 3.860608345902463794e+07
9.597614737078973121e+03 5.139517345399698615e+07
9.681402381853455154e+03 2.494501005530416965e+07
9.900375382286456443e+03 1.825980392156863213e+07
1.011743055768647173e+04 3.050488624937146902e+07
1.018988172559929808e+04 3.802476118652588129e+07
1.022772680625023349e+04 4.814574779341936111e+07
1.035451635009768142e+04 5.895236299648064375e+07
1.048194516895612469e+04 4.362980769230762124e+07
1.051817075291253786e+04 3.361378205128198862e+07
1.061943191465422933e+04 2.116641528406232595e+07
1.133848844702200222e+04 1.593451483157366514e+07
1.179262941483322538e+04 1.593451483157366514e+07
1.272614140422296441e+04 1.632206301323950291e+07
1.319289739891783574e+04 1.767848164906990528e+07
1.371011350114728521e+04 1.593451483157366514e+07
1.402548917323841306e+04 1.593451483157366514e+07
1.461208792332791199e+04 1.593451483157366514e+07
1.508515143146460468e+04 1.651583710407239199e+07
1.550144731862489425e+04 1.593451483157366514e+07
1.633403909294547157e+04 1.554696664990782738e+07
1.681341011452398743e+04 1.554696664990782738e+07
1.724232102856792335e+04 1.593451483157366514e+07
1.842813355563056393e+04 1.554696664990782738e+07
1.898319473851094881e+04 1.593451483157366514e+07
1.951302586762404462e+04 1.477187028657615185e+07
2.047176791078107271e+04 1.477187028657615185e+07
2.102682909366145759e+04 1.477187028657615185e+07
2.170804054537829870e+04 1.477187028657615185e+07
2.235140691644419712e+04 1.477187028657615185e+07
2.299477328751009918e+04 1.477187028657615185e+07
2.367598473922693665e+04 1.748470755823695660e+07
2.382736506183067831e+04 2.988624937154346704e+07
2.390305522313254914e+04 4.093137254901960492e+07
2.397874538443441998e+04 5.604575163398692012e+07
2.397874538443441998e+04 6.709087481146302819e+07
2.406253302920889109e+04 7.813599798893916607e+07
2.409875861316530791e+04 8.801847662141779065e+07
2.413498419712172108e+04 1.020324021702697277e+08
2.415309698909992949e+04 1.141779788838612139e+08
2.426015424427465405e+04 1.262364881850177646e+08
2.442879499217527700e+04 8.313746438746431470e+07
2.442879499217527700e+04 9.593571937321931124e+07
2.450857651354751579e+04 5.313914027149319649e+07
2.450857651354751579e+04 6.360294117647057772e+07
2.458426667484938662e+04 3.221153846153846383e+07
2.458426667484938662e+04 3.976872800402212143e+07
2.469780191680219286e+04 2.087575414781296253e+07
2.518978796526435326e+04 1.360922574157869816e+07
2.571961909437744907e+04 1.244658119658118486e+07
2.624945022349054489e+04 1.302790346907991171e+07
2.662790102999989904e+04 1.244658119658118486e+07
2.711988707846205580e+04 1.767848164906990528e+07
2.734533806567314605e+04 3.248976139601141214e+07
2.753294397223329725e+04 2.373654055639338493e+07
2.772532313220889773e+04 1.525106837606829405e+07
2.817954933668824742e+04 1.244658119658118486e+07
2.882291570775414948e+04 8.958647561588764191e+06
2.969335256272566403e+04 9.539969834087491035e+06
3.036194898755885515e+04 8.958647561588764191e+06
3.071516974030092024e+04 8.958647561588764191e+06
3.144684129955233948e+04 8.183551198257088661e+06
3.182529210606168999e+04 7.796003016591250896e+06
3.227943307387291497e+04 7.796003016591250896e+06
3.268311393414955819e+04 7.796003016591250896e+06
3.336432538586639566e+04 7.360011312217175961e+06
3.417168710641968937e+04 6.633358471593737602e+06
3.495381877320568310e+04 6.633358471593737602e+06
3.540795974101690808e+04 6.633358471593737602e+06
3.578641054752626223e+04 6.633358471593737602e+06
3.707314328965806635e+04 6.052036199095010757e+06
3.828418587048799964e+04 5.470713926596283913e+06
3.892755224155389442e+04 5.470713926596283913e+06
3.919246780611044233e+04 5.470713926596283913e+06
4.017643990303476312e+04 5.470713926596283913e+06
4.080719124721702246e+04 5.470713926596283913e+06
4.142532756451563182e+04 4.889391654097557068e+06
4.199300377427966305e+04 4.501843472431719303e+06
4.264898517222921510e+04 4.308069381598770618e+06
4.370864743045539944e+04 3.920521199932932854e+06
4.421324850580120983e+04 3.532973018267154694e+06
4.464215941984514211e+04 3.145424836601316929e+06
4.581535692002413998e+04 3.145424836601316929e+06
4.623165280718442955e+04 2.564102564102590084e+06
4.679932901694846078e+04 1.982780291603803635e+06
4.725346998475968576e+04 1.982780291603803635e+06
4.774545603322184616e+04 1.982780291603803635e+06
4.864593881371025054e+04 1.704557357130885124e+06
4.967555514641954505e+04 8.201357466063499451e+05
